"subjid","ficat","fitest","fidtc","fistresn","chg"
"DIOD","BALANCE SHEET","otherCurrentLiabilities","2020-12-31",0.0004311694862168132,""
"DIOD","BALANCE SHEET","tradeandOtherPayablesNonCurrent","2020-12-31",0.0298987565234723,""
"DIOD","BALANCE SHEET","prepaidAssets","2020-12-31",0.05710392404908824,""
"DIOD","BALANCE SHEET","incomeTaxPayable","2020-12-31",0.015601013655056275,""
"DIOD","BALANCE SHEET","properties","2020-12-31",0,""
"DIOD","BALANCE SHEET","additionalPaidInCapital","2020-12-31",0.3657602616303901,""
"DIOD","BALANCE SHEET","pensionandOtherPostRetirementBenefitPlansCurrent","2020-12-31",0.039657830403957,""
"DIOD","BALANCE SHEET","currentCapitalLeaseObligation","2020-12-31",0.008795857518822989,""
"DIOD","BALANCE SHEET","otherNonCurrentLiabilities","2020-12-31",0.003990351565836733,""
"DIOD","BALANCE SHEET","totalTaxPayable","2020-12-31",0.021993711433719896,""
"DIOD","BALANCE SHEET","commonStockEquity","2020-12-31",0.784093913595262,""
"DIOD","BALANCE SHEET","cashCashEquivalentsAndShortTermInvestments","2020-12-31",0.22307488925859187,""
"DIOD","BALANCE SHEET","cashAndCashEquivalents","2020-12-31",0.21807820438247175,""
"DIOD","BALANCE SHEET","totalCapitalization","2020-12-31",1.018535406743328,""
"DIOD","BALANCE SHEET","accountsPayable","2020-12-31",0.13670920058736674,""
"DIOD","BALANCE SHEET","otherCurrentAssets","2020-12-31",0.05710392404908824,""
"DIOD","BALANCE SHEET","totalNonCurrentLiabilitiesNetMinorityInterest","2020-12-31",0.36899321924968376,""
"DIOD","BALANCE SHEET","capitalStock","2020-12-31",0.02903641755103867,""
"DIOD","BALANCE SHEET","workInProcess","2020-12-31",0.05976659900831018,""
"DIOD","BALANCE SHEET","nonCurrentDeferredAssets","2020-12-31",0.04705523443823904,""
"DIOD","BALANCE SHEET","netDebt","2020-12-31",0.14849883868973288,""
"DIOD","BALANCE SHEET","goodwillAndOtherIntangibleAssets","2020-12-31",0.218775397306411,""
