"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod","fistresn","afidtc","chg"
"MO","INCOME STATEMENT","DIOD","Amortization",16261000,"USD","2020-12-31 00:00:00","12M",0.013228767953531319,"",""
"MO","INCOME STATEMENT","DIOD","Amortization",16216000,"USD","2021-12-31 00:00:00","12M",0.008983127276111507,"2021-12-31_2020-12-31",-0.002767357481089724
"MO","INCOME STATEMENT","DIOD","Amortization",15610000,"USD","2022-12-31 00:00:00","12M",0.007802737206210199,"2022-12-31_2021-12-31",-0.037370498273310314
"MO","INCOME STATEMENT","DIOD","Amortization",15282000,"USD","2023-12-31 00:00:00","12M",0.009196390046812405,"2023-12-31_2022-12-31",-0.021012171684817425
"MO","INCOME STATEMENT","DIOD","Amortization",15303000,"USD","2024-09-30 00:00:00","TTM",0.011821360951270779,"",""
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",16261000,"USD","2020-12-31 00:00:00","12M",0.013228767953531319,"",""
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",16216000,"USD","2021-12-31 00:00:00","12M",0.008983127276111507,"2021-12-31_2020-12-31",-0.002767357481089724
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15610000,"USD","2022-12-31 00:00:00","12M",0.007802737206210199,"2022-12-31_2021-12-31",-0.037370498273310314
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15282000,"USD","2023-12-31 00:00:00","12M",0.009196390046812405,"2023-12-31_2022-12-31",-0.021012171684817425
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15303000,"USD","2024-09-30 00:00:00","TTM",0.011821360951270779,"",""
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",51004000,"USD","2020-12-31 00:00:00","12M",0.04149314806604215,"",""
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",44772000,"USD","2021-12-31 00:00:00","12M",0.024802206117788873,"2021-12-31_2020-12-31",-0.12218649517684887
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45330000,"USD","2022-12-31 00:00:00","12M",0.022658429055573883,"2022-12-31_2021-12-31",0.012463146609488072
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45686250,"USD","2023-09-30 00:00:00","TTM","","",""
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45803000,"USD","2023-12-31 00:00:00","12M",0.02756329363395816,"2023-12-31_2022-12-31",0.01043459077873373
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45803000,"USD","2023-12-31 00:00:00","TTM","","",""
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45911000,"USD","2024-03-31 00:00:00","TTM","","",""
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",46011000,"USD","2024-06-30 00:00:00","TTM","","",""
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",46109000,"USD","2024-09-30 00:00:00","TTM",0.03561858015435825,"2024-09-30_2023-09-30",0.009253331144490957
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7547000000,"USD","2021-06-30 00:00:00","12M",0.044899100471181765,"",""
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7496000000,"USD","2022-06-30 00:00:00","12M",0.037807030816563274,"2022-06-30_2021-06-30",-0.006757652047171062
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7446000000,"USD","2023-06-30 00:00:00","12M",0.03513672934903145,"2023-06-30_2022-06-30",-0.006670224119530417
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7439000000,"USD","2023-09-30 00:00:00","TTM","","",""
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7434500000,"USD","2023-12-31 00:00:00","TTM","","",""
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7431750000,"USD","2024-03-31 00:00:00","TTM","","",""
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7431000000,"USD","2024-06-30 00:00:00","12M",0.030315516355121124,"2024-06-30_2023-06-30",-0.00201450443190975
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7432000000,"USD","2024-09-30 00:00:00","TTM",0.0292379715960502,"2024-09-30_2023-09-30",-0.0009409866917596451
"MO","INCOME STATEMENT","DIOD","BasicEPS",1.92,"USD","2020-12-31 00:00:00","12M",1.561972478370342e-9,"",""
"MO","INCOME STATEMENT","DIOD","BasicEPS",5.11,"USD","2021-12-31 00:00:00","12M",2.8307708671022325e-9,"2021-12-31_2020-12-31",1.6614583333333337
