"dtype","param","subjid","fidtc","afidtc","aval"
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MELI_2022-12-31 00:00:00",0.7100273049711581
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MELI_2023-12-31 00:00:00",0.6794197952622218
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MELI_2024-09-30 00:00:00",0.4133612723470733
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCRI_2020-12-31 00:00:00",0.8107272175131686
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCRI_2021-12-31 00:00:00",0.8184078022927316
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCRI_2022-12-31 00:00:00",0.8049918417580321
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCRI_2023-12-31 00:00:00",0.8030810432681025
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCRI_2024-09-30 00:00:00",0.29480853504201143
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCQEF_2021-03-31 00:00:00",0.6012126931514544
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCQEF_2022-03-31 00:00:00",0.45773510514870636
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCQEF_2023-03-31 00:00:00",0.6138882503975382
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCQEF_2024-03-31 00:00:00",0.6043576582804567
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MCQEF_2024-09-30 00:00:00",0.09752725968246156
