param,,,,CHG,CHG,CHG,FISTRESN,FISTRESN,FISTRESN,FISTRESN,FISTRESN
afidtc,,,,2021-12-31,2022-12-31,2023-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-09-30
dtype,subjid,asubjid,fidtc,,,,,,,,
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,FWRD,MATX,2020-12-31,,,,88.0,88.0,87.0,91.0,61.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,FWRD,MATX,2021-12-31,6.0,-18.0,-35.0,90.0,91.0,90.0,91.0,61.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,FWRD,MATX,2022-12-31,77.0,32.0,-56.00000000000001,77.0,84.0,84.0,82.0,61.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,FWRD,MATX,2023-12-31,-37.0,-11.0,38.0,67.0,64.0,61.0,65.0,21.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,FWRD,MATX,2024-09-30,,,,17.0,7.000000000000001,6.0,15.0,30.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,HDSN,MATX,2020-12-31,,,,78.0,70.0,66.0,70.0,42.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,HDSN,MATX,2021-12-31,59.0,24.0,-32.0,77.0,80.0,77.0,75.0,45.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,HDSN,MATX,2022-12-31,46.0,32.0,-35.0,69.0,82.0,82.0,73.0,52.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,HDSN,MATX,2023-12-31,-6.0,40.0,62.0,68.0,81.0,83.0,81.0,48.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,HDSN,MATX,2024-09-30,,,,41.0,54.0,53.0,38.0,93.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,IDCC,MATX,2020-12-31,,,,56.99999999999999,61.0,64.0,67.0,15.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,IDCC,MATX,2021-12-31,18.0,-50.0,-23.0,55.00000000000001,59.0,61.0,64.0,12.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,IDCC,MATX,2022-12-31,-18.0,13.0,-9.0,56.99999999999999,60.0,63.0,63.0,14.000000000000002
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,IDCC,MATX,2023-12-31,28.999999999999996,-7.000000000000001,-34.0,52.0,59.0,62.0,59.0,19.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,IDCC,MATX,2024-09-30,,,,21.0,37.0,37.0,20.0,49.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,KAI,MATX,2020-12-31,,,,82.0,82.0,83.0,85.0,37.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,KAI,MATX,2021-12-31,11.0,-10.0,-28.000000000000004,82.0,83.0,83.0,84.0,40.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,KAI,MATX,2022-12-31,50.0,15.0,-21.0,81.0,86.0,87.0,87.0,44.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,KAI,MATX,2023-12-31,36.0,44.0,7.000000000000001,79.0,85.0,87.0,88.0,44.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,KAI,MATX,2024-09-30,,,,42.0,51.0,49.0,36.0,85.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MATX,MATX,2020-12-31,,,,100.0,93.0,89.0,92.0,45.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MATX,MATX,2021-12-31,100.0,31.0,-66.0,93.0,100.0,99.0,94.0,56.99999999999999
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MATX,MATX,2022-12-31,31.0,100.0,16.0,89.0,99.0,100.0,95.0,56.00000000000001
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MATX,MATX,2023-12-31,-66.0,16.0,100.0,92.0,94.0,95.0,100.0,42.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MATX,MATX,2024-09-30,,,,45.0,56.99999999999999,56.00000000000001,42.0,100.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MCRI,MATX,2020-12-31,,,,82.0,80.0,80.0,88.0,13.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MCRI,MATX,2021-12-31,53.0,-19.0,-75.0,82.0,85.0,86.0,90.0,26.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MCRI,MATX,2022-12-31,59.0,6.0,-55.00000000000001,78.0,83.0,86.0,89.0,28.999999999999996
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MCRI,MATX,2023-12-31,-12.0,-38.0,-30.0,79.0,84.0,85.0,88.0,31.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MCRI,MATX,2024-09-30,,,,35.0,49.0,48.0,32.0,77.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MTH,MATX,2020-12-31,,,,60.0,68.0,69.0,69.0,49.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MTH,MATX,2021-12-31,6.0,18.0,8.0,57.99999999999999,67.0,69.0,68.0,43.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MTH,MATX,2022-12-31,49.0,34.0,-16.0,56.99999999999999,68.0,70.0,69.0,45.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MTH,MATX,2023-12-31,-21.0,47.0,69.0,56.99999999999999,66.0,69.0,70.0,41.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,MTH,MATX,2024-09-30,,,,36.0,43.0,41.0,33.0,77.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,SHLS,MATX,2020-12-31,,,,39.0,28.999999999999996,22.0,19.0,18.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,SHLS,MATX,2021-12-31,6.0,20.0,24.0,50.0,42.0,38.0,39.0,15.0
DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS,SHLS,MATX,2022-12-31,32.0,35.0,-1.0,73.0,79.0,79.0,76.0,35.0
