"domain","ficat","figrpid","subjid","fitest","fiorres","fiorresu","fidtc","fidt"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxProvision",12570000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxProvision",21112000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxProvision",78807000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxProvision",56685000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxProvision",47285000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","amortization",15303000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","amortization",16261000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","amortization",16216000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","amortization",15610000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","amortization",15282000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",1.33,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",1.92,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",5.11,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",7.31,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",4.96,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",6.44,"USD","2023-09-30","2023-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",3.7,"USD","2024-03-31","2024-03-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","basicEPS",2.09,"USD","2024-06-30","2024-06-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalUnusualItemsExcludingGoodwill",-1491000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalUnusualItemsExcludingGoodwill",-7837000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalUnusualItemsExcludingGoodwill",25665000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalUnusualItemsExcludingGoodwill",-10741000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalUnusualItemsExcludingGoodwill",13465000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeIncludingNoncontrollingInterests",65720000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeIncludingNoncontrollingInterests",99229000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeIncludingNoncontrollingInterests",236288000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeIncludingNoncontrollingInterests",339255000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeIncludingNoncontrollingInterests",230648000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","normalizedIncome",62326609.656406,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","normalizedIncome",104553525,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","normalizedIncome",209514250,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","normalizedIncome",340488037,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","normalizedIncome",216006050,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingExpense",378732000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingExpense",296683000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingExpense",394129000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingExpense",422695000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","operatingExpense",408073000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","restructuringAndMergernAcquisition",7056000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","restructuringAndMergernAcquisition",0,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","restructuringAndMergernAcquisition",0,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","restructuringAndMergernAcquisition",1583000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","restructuringAndMergernAcquisition",0,"USD","2019-12-31","2019-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAndAmortizationInIncomeStatement",15303000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAndAmortizationInIncomeStatement",16261000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAndAmortizationInIncomeStatement",16216000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAndAmortizationInIncomeStatement",15610000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAndAmortizationInIncomeStatement",15282000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","specialIncomeCharges",514000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","specialIncomeCharges",-106000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","specialIncomeCharges",-246000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","specialIncomeCharges",3651000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","specialIncomeCharges",462000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","pretaxIncome",78290000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","pretaxIncome",120341000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","pretaxIncome",315095000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","pretaxIncome",395940000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","pretaxIncome",277933000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netNonOperatingInterestIncomeExpense",15897000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netNonOperatingInterestIncomeExpense",-10596000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netNonOperatingInterestIncomeExpense",-4352000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netNonOperatingInterestIncomeExpense",-4648000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netNonOperatingInterestIncomeExpense",7638000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxRateForCalcs",0.160557,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxRateForCalcs",0.175,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxRateForCalcs",0.25,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxRateForCalcs",0.143,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","taxRateForCalcs",0.17,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAmortizationDepletionIncomeStatement",15303000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAmortizationDepletionIncomeStatement",16261000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAmortizationDepletionIncomeStatement",16216000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAmortizationDepletionIncomeStatement",15610000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","depreciationAmortizationDepletionIncomeStatement",15282000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","minorityInterests",-4645000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","minorityInterests",-1141000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","minorityInterests",-7525000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","minorityInterests",-7972000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","minorityInterests",-3466000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingOperationNetMinorityInterest",61075000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingOperationNetMinorityInterest",98088000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingOperationNetMinorityInterest",228763000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingOperationNetMinorityInterest",331283000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingOperationNetMinorityInterest",227182000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingAndDiscontinuedOperation",61075000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingAndDiscontinuedOperation",98088000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingAndDiscontinuedOperation",228763000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingAndDiscontinuedOperation",331283000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","netIncomeFromContinuingAndDiscontinuedOperation",227182000,"USD","2023-12-31","2023-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalRevenue",1294521000,"USD","2024-09-30","2024-09-30"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalRevenue",1229215000,"USD","2020-12-31","2020-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalRevenue",1805162000,"USD","2021-12-31","2021-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalRevenue",2000580000,"USD","2022-12-31","2022-12-31"
"FI","INCOME STATEMENT","RUSSEL 2000","DIOD","totalRevenue",1661739000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","longTermDebtAndCapitalLeaseObligation",315244000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","longTermDebtAndCapitalLeaseObligation",287888000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","longTermDebtAndCapitalLeaseObligation",168281000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","longTermDebtAndCapitalLeaseObligation",44362000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossAccountsReceivable",323867000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossAccountsReceivable",362820000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossAccountsReceivable",375085000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","grossAccountsReceivable",377571000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","inventory",307062000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","inventory",348622000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","inventory",360281000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","inventory",389774000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","minorityInterest",52303000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","minorityInterest",65482000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","minorityInterest",69274000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","minorityInterest",68936000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accountsPayable",168045000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accountsPayable",221254000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accountsPayable",160442000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","accountsPayable",158261000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","totalNonCurrentLiabilitiesNetMinorityInterest",453572000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","totalNonCurrentLiabilitiesNetMinorityInterest",420737000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","totalNonCurrentLiabilitiesNetMinorityInterest",272863000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","totalNonCurrentLiabilitiesNetMinorityInterest",164484000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","machineryFurnitureEquipment",942405000,"USD","2020-12-31","2020-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","machineryFurnitureEquipment",962597000,"USD","2021-12-31","2021-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","machineryFurnitureEquipment",1137737000,"USD","2022-12-31","2022-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","machineryFurnitureEquipment",1201400000,"USD","2023-12-31","2023-12-31"
"FI","BALANCE SHEET","RUSSEL 2000","DIOD","currentLiabilities",509762000,"USD","2020-12-31","2020-12-31"
