"subjid","fiorresu","fitest","fiorres","timeStamp","domain","ficat"
"MSFT","USD","maxAge","1","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","priceHint","2","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","previousClose","418.95","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","open","415.23","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","dayLow","412.34","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","dayHigh","418.5","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","regularMarketPreviousClose","418.95","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","regularMarketOpen","415.23","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","regularMarketDayLow","412.34","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","regularMarketDayHigh","418.5","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","dividendRate","3.32","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","dividendYield","0.008","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","exDividendDate","2025-02-20 01:00:00","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","payoutRatio","0.2477","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","beta","0.904","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","trailingPE","34.47851","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","forwardPE","27.905685","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","volume","17285584.0","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","regularMarketVolume","17285584.0","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","averageVolume","21036358","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","averageVolume10days","16023060","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","averageDailyVolume10Day","16023060","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","bid","416.7","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","ask","417.58","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","bidSize","100.0","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","askSize","100.0","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","marketCap","3101757538304.0","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","fiftyTwoWeekLow","384.81","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","fiftyTwoWeekHigh","468.35","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","priceToSalesTrailing12Months","12.202517","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","fiftyDayAverage","428.2556","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","twoHundredDayAverage","425.1202","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","trailingAnnualDividendRate","3.08","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","trailingAnnualDividendYield","0.0073517123","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","tradeable","false","2025-01-14","MA","MARKET INDICATORS"
"MSFT","USD","fiveYearAvgDividendYield","0.86","2025-01-14","MA","MARKET INDICATORS"
