"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod"
"MO","INCOME STATEMENT","DIOD","Amortization",16261000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","Amortization",16216000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","Amortization",15610000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","Amortization",15282000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","Amortization",15303000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",16261000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",16216000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15610000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15282000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15303000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",51004000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",44772000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45330000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45686250,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45803000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45803000,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",45911000,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",46011000,"USD","2024-06-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicAverageShares",46109000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7547000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7496000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7446000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7439000000,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7434500000,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7431750000,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7431000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicAverageShares",7432000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicEPS",1.92,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicEPS",5.11,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicEPS",7.31,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicEPS",6.44,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicEPS",4.96,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","BasicEPS",4.96,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicEPS",3.7,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicEPS",2.09,"USD","2024-06-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","BasicEPS",1.33,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicEPS",8.12,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicEPS",9.7,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicEPS",9.72,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicEPS",10.37,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicEPS",11.1,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicEPS",11.6,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","BasicEPS",11.86,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","BasicEPS",12.18,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","CostOfRevenue",798094000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","CostOfRevenue",1134802000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","CostOfRevenue",1173343000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","CostOfRevenue",1003557000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","CostOfRevenue",857067000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",52232000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",62650000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",65863000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",74114000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",77911000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",16261000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",16216000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",15610000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",15282000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",15303000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",16261000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",16216000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",15610000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",15282000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",15303000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",52133000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",45781000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46036000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46304500,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46311000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46311000,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46342000,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46339500,"USD","2024-06-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46372500,"USD","2024-09-30 00:00:00","TTM"
