"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod","fistresn","afidtc","chg"
"FI","INCOME STATEMENT","DIOD","Amortization",3808000,"USD","2023-09-30","3M",0.009410671523574868,"",""
"FI","INCOME STATEMENT","DIOD","Amortization",3806000,"USD","2023-12-31","3M",0.011794272681353211,"",""
"FI","INCOME STATEMENT","DIOD","Amortization",3810000,"USD","2024-03-31","3M",0.01261706383373293,"",""
"FI","INCOME STATEMENT","DIOD","Amortization",3854000,"USD","2024-06-30","3M",0.012052374980845668,"",""
"FI","INCOME STATEMENT","DIOD","Amortization",3833000,"USD","2024-09-30","3M",0.010948957235366874,"2024-09-30_2023-09-30",0.006565126050420168
"FI","INCOME STATEMENT","DIOD","Amortization",15303000,"USD","2024-09-30","TTM",0.011821360951270779,"",""
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3808000,"USD","2023-09-30","3M",0.009410671523574868,"",""
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3806000,"USD","2023-12-31","3M",0.011794272681353211,"",""
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3810000,"USD","2024-03-31","3M",0.01261706383373293,"",""
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3854000,"USD","2024-06-30","3M",0.012052374980845668,"",""
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3833000,"USD","2024-09-30","3M",0.010948957235366874,"2024-09-30_2023-09-30",0.006565126050420168
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15303000,"USD","2024-09-30","TTM",0.011821360951270779,"",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45936000,"USD","2023-09-30","3M",0.11352116783270357,"",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45686250,"USD","2023-09-30","TTM","","",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45938000,"USD","2023-12-31","3M",0.14235556974146185,"",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45803000,"USD","2023-12-31","TTM","","",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46032000,"USD","2024-03-31","3M",0.15243797438173076,"",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45911000,"USD","2024-03-31","TTM","","",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46133000,"USD","2024-06-30","3M",0.14426886740823902,"",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46011000,"USD","2024-06-30","TTM","","",""
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46331000,"USD","2024-09-30","3M",0.13234441368948152,"2024-09-30_2023-09-30",0.00859892023685127
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46109000,"USD","2024-09-30","TTM",0.03561858015435825,"2024-09-30_2023-09-30",0.009253331144490957
"FI","INCOME STATEMENT","DIOD","EBIT",61405000,"USD","2023-09-30","3M",0.1517495496074356,"",""
"FI","INCOME STATEMENT","DIOD","EBIT",28359000,"USD","2023-12-31","3M",0.08788065658709819,"",""
"FI","INCOME STATEMENT","DIOD","EBIT",19338000,"USD","2024-03-31","3M",0.06403904997814366,"",""
"FI","INCOME STATEMENT","DIOD","EBIT",13656000,"USD","2024-06-30","3M",0.04270556116721028,"",""
"FI","INCOME STATEMENT","DIOD","EBIT",19258000,"USD","2024-09-30","3M",0.05501044050057273,"2024-09-30_2023-09-30",-0.6863773308362511
"FI","INCOME STATEMENT","DIOD","EBIT",80611000,"USD","2024-09-30","TTM",0.062270909471534255,"",""
"FI","INCOME STATEMENT","DIOD","GrossProfit",155876000,"USD","2023-09-30","3M",0.38521476743927424,"",""
"FI","INCOME STATEMENT","DIOD","GrossProfit",112476000,"USD","2023-12-31","3M",0.34854771784232363,"",""
"FI","INCOME STATEMENT","DIOD","GrossProfit",99584000,"USD","2024-03-31","3M",0.32977891989985825,"",""
"FI","INCOME STATEMENT","DIOD","GrossProfit",107386000,"USD","2024-06-30","3M",0.3358215723126863,"",""
"FI","INCOME STATEMENT","DIOD","GrossProfit",118008000,"USD","2024-09-30","3M",0.3370896283410316,"2024-09-30_2023-09-30",-0.24293669326900869
"FI","INCOME STATEMENT","DIOD","GrossProfit",437454000,"USD","2024-09-30","TTM",0.33792731056506614,"",""
"FI","INCOME STATEMENT","DIOD","MinorityInterests",-1113000,"USD","2023-09-30","3M",-0.0027505455372213313,"",""
"FI","INCOME STATEMENT","DIOD","MinorityInterests",185000,"USD","2023-12-31","3M",0.0005732896600237373,"",""
"FI","INCOME STATEMENT","DIOD","MinorityInterests",-1231000,"USD","2024-03-31","3M",-0.004076536897460692,"",""
"FI","INCOME STATEMENT","DIOD","MinorityInterests",-2161000,"USD","2024-06-30","3M",-0.006757961165959389,"",""
"FI","INCOME STATEMENT","DIOD","MinorityInterests",-1438000,"USD","2024-09-30","3M",-0.004107644274578024,"2024-09-30_2023-09-30",0.2920035938903863
"FI","INCOME STATEMENT","DIOD","MinorityInterests",-4645000,"USD","2024-09-30","TTM",-0.003588199805178904,"",""
"FI","INCOME STATEMENT","DIOD","NetIncomeFromContinuingOperationNetMinorityInterest",48720000,"USD","2023-09-30","3M",0.12040123861044318,"",""
"FI","INCOME STATEMENT","DIOD","NetIncomeFromContinuingOperationNetMinorityInterest",25292000,"USD","2023-12-31","3M",0.07837644368281278,"",""
"FI","INCOME STATEMENT","DIOD","NetIncomeFromContinuingOperationNetMinorityInterest",14038000,"USD","2024-03-31","3M",0.046487753831481064,"",""
"FI","INCOME STATEMENT","DIOD","NetIncomeFromContinuingOperationNetMinorityInterest",8000000,"USD","2024-06-30","3M",0.02501790343714721,"",""
