"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod"
"FI","INCOME STATEMENT","DIOD","Amortization",3808000,"USD","2023-09-30","3M"
"FI","INCOME STATEMENT","DIOD","Amortization",3806000,"USD","2023-12-31","3M"
"FI","INCOME STATEMENT","DIOD","Amortization",3810000,"USD","2024-03-31","3M"
"FI","INCOME STATEMENT","DIOD","Amortization",3854000,"USD","2024-06-30","3M"
"FI","INCOME STATEMENT","DIOD","Amortization",3833000,"USD","2024-09-30","3M"
"FI","INCOME STATEMENT","DIOD","Amortization",15303000,"USD","2024-09-30","TTM"
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3808000,"USD","2023-09-30","3M"
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3806000,"USD","2023-12-31","3M"
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3810000,"USD","2024-03-31","3M"
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3854000,"USD","2024-06-30","3M"
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",3833000,"USD","2024-09-30","3M"
"FI","INCOME STATEMENT","DIOD","AmortizationOfIntangiblesIncomeStatement",15303000,"USD","2024-09-30","TTM"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45936000,"USD","2023-09-30","3M"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45686250,"USD","2023-09-30","TTM"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45938000,"USD","2023-12-31","3M"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45803000,"USD","2023-12-31","TTM"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46032000,"USD","2024-03-31","3M"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",45911000,"USD","2024-03-31","TTM"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46133000,"USD","2024-06-30","3M"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46011000,"USD","2024-06-30","TTM"
"FI","INCOME STATEMENT","DIOD","BasicAverageShares",46331000,"USD","2024-09-30","3M"
