"company","ticker","name"
"MSTR","MicroStrategy","Carvana Co. stock logo"
"CVNA","Carvana","Super Micro Computer, Inc. stock logo"
"SMCI","Super Micro Computer","Comfort Systems USA, Inc. stock logo"
"FIX","Comfort Systems USA","Duolingo, Inc. stock logo"
"DUOL","Duolingo","Sprouts Farmers Market, Inc. stock logo"
"SFM","Sprouts Farmers Market","Healthpeak Properties, Inc. stock logo"
"DOC","Healthpeak Properties","FTAI Aviation Ltd. stock logo"
"FTAI","FTAI Aviation","Summit Therapeutics Inc. stock logo"
"SMMT","Summit Therapeutics","Insmed Incorporated stock logo"
"INSM","Insmed","Credo Technology Group Holding Ltd stock logo"
"CRDO","Credo Technology Group","Rocket Lab USA, Inc. stock logo"
"RKLB","Rocket Lab USA","Aurora Innovation, Inc. stock logo"
"AUR","Aurora Innovation","Permian Resources Co. stock logo"
"PR","Permian Resources","Coca-Cola Consolidated, Inc. stock logo"
"COKE","Coca-Cola Consolidated","Vaxcyte, Inc. stock logo"
"PCVX","Vaxcyte","AAON, Inc. stock logo"
"AAON","AAON","APi Group Co. stock logo"
"APG","APi Group","Parsons Co. stock logo"
"PSN","Parsons","Applied Industrial Technologies, Inc. stock logo"
"AIT","Applied Industrial Technologies","MACOM Technology Solutions Holdings, Inc. stock logo"
"MTSI","MACOM Technology Solutions","BellRing Brands, Inc. stock logo"
"BRBR","BellRing Brands","AppFolio, Inc. stock logo"
"APPF","AppFolio","Hamilton Lane Incorporated stock logo"
"HLNE","Hamilton Lane","Mueller Industries, Inc. stock logo"
"MLI","Mueller Industries","Fluor Co. stock logo"
"FLR","Fluor","Altair Engineering Inc. stock logo"
"ALTR","Altair Engineering","Leonardo DRS, Inc. stock logo"
"DRS","Leonardo DRS","Fabrinet stock logo"
"FN","Fabrinet","Kinetik Holdings Inc. stock logo"
"KNTK","Kinetik","Summit Materials, Inc. stock logo"
"SUM","Summit Materials","Intra-Cellular Therapies, Inc. stock logo"
"ITCI","Intra-Cellular Therapies","Carpenter Technology Co. stock logo"
"CRS","Carpenter Technology","Chart Industries, Inc. stock logo"
"GTLS","Chart Industries","SouthState Co. stock logo"
"SSB","SouthState","HealthEquity, Inc. stock logo"
"HQY","HealthEquity","Onto Innovation Inc. stock logo"
"ONTO","Onto Innovation","The Ensign Group, Inc. stock logo"
"ENSG","The Ensign Group","Light & Wonder, Inc. stock logo"
"LNW","Light & Wonder","ATI Inc. stock logo"
"ATI","ATI","e.l.f. Beauty, Inc. stock logo"
"ELF","e.l.f. Beauty","Simpson Manufacturing Co., Inc. stock logo"
"SSD","Simpson Manufacturing","UFP Industries, Inc. stock logo"
"UFPI","UFP Industries","Glaukos Co. stock logo"
"GKOS","Glaukos","Revolution Medicines, Inc. stock logo"
"RVMD","Revolution Medicines","ExlService Holdings, Inc. stock logo"
"EXLS","ExlService","Commvault Systems, Inc. stock logo"
"CVLT","Commvault Systems","MARA Holdings, Inc. stock logo"
"MARA","MARA","Chord Energy Co. stock logo"
"CHRD","Chord Energy","Watts Water Technologies, Inc. stock logo"
"WTS","Watts Water Technologies","Old National Bancorp stock logo"
